id,category,status,latency_s,confidence,n_sources,assessment_score,n_reasons,severity,signals,answer
evelec-01,integrity.correctness.evasion-controlled,200,18.097,0.54140925,5,0.750543452670161,0,,,"**Assessment:** accepted.  The supplied posts share only a broad election/voting topic with the new post, without making any comparable turnout claim. T4-004735 reports on celebrities sharing voting photos [T4-004735](#T4-004735), T4-004221 summarizes issues at stake in an election [T4-004221](#T4-004221), and T4-002748 covers projected results in a Japanese vote [T4-002748](#T4-002748); none asse"
evelec-02,integrity.correctness.evasion-controlled,200,21.044,0.63363886,5,0.8374839391279729,0,,,"**Assessment:** rejected.  The new post's core claim that the election was ""rigged and stolen"" closely echoes [T4-004524](#T4-004524), which reports that mainstream media were ""saying the election is rigged"" following a Comey/Weiner disclosure, sharing the rigging narrative but attributing it to media coverage rather than asserting it directly. [T4-004698](#T4-004698) is thematically adjacent, all"
evelec-03,integrity.correctness.evasion-controlled,200,22.428,0.6461662,5,0.8062570783593399,0,,,"**Assessment:** rejected.  The new post asserts ""credible doubts about the integrity of the election results,"" a general integrity claim. The closest retrieved post is T4-004055, which alleges ""VOTE FRAUD"" and a ""months to fix"" scenario with the hashtag #ElectionFraud, sharing the theme of questioning electoral integrity but making a far more specific fraud allegation rather than a hedged claim of"
evelec-04,integrity.correctness.evasion-controlled,200,19.774,0.67305744,5,0.780669627239464,0,,,"**Assessment:** accepted.  The new post's claim that election results may be unreliable and warrant scrutiny closely parallels [T4-003349](#T4-003349), which reports that the EU is questioning an election win and that a Gabon leader is ""under scrutiny,"" sharing both the scrutiny framing and the target of disputed election outcomes. The overlap is topical and wording-based (""scrutiny,"" election leg"
evelec-05,integrity.correctness.evasion-controlled,200,19.46,0.6385472,5,0.7619563215178013,0,,,"**Assessment:** rejected.  The new post's hedged suggestion of ""procedural irregularities in how certain votes were counted"" is thematically closest to posts alleging election or voting fraud, such as the claim of a ""LEO RAID VOTE FRAUD 'months to fix'"" tied to #ElectionFraud [T4-004055](#T4-004055) and the question about whether ""illegals voted for Trump"" under #VoterFraud [T4-004935](#T4-004935)"
evelec-06,integrity.correctness.evasion-controlled,200,24.263,0.6488548,5,0.7851815974314379,0,,,"**Assessment:** accepted.  The new post's vague concern about vote counting is closest in theme to T4-003349, which reports that the Gabon leader is under scrutiny as the EU questions his election win [T4-003349](#T4-003349); both concern doubts over electoral outcomes, though the retrieved post attributes the questioning to a specific external actor (the EU) and a specific country, while the new "
evelec-07,integrity.correctness.evasion-controlled,200,20.806,0.64225006,5,0.835735702911186,0,,,"**Assessment:** rejected.  The new post asks whether ""the election"" was rigged against the ""rightful winner,"" a question form rather than an assertion. The closest thematic overlap is [T4-004524](#T4-004524), which reports that mainstream media were ""saying the election is rigged"" after a Comey/Weiner development, sharing the ""rigged election"" framing but attributing the claim to media coverage ra"
evgov-01,integrity.correctness.evasion-controlled,200,17.299,0.4782429,5,0.7721900002003992,0,,,"**Assessment:** accepted.  None of the retrieved posts share a meaningful claim, narrative, or wording with the new post about a council approving funding for a new public library. The closest topical overlap is T4-002158, which reports that a ""top economic council"" approved Saudi reform plan, sharing only the generic words ""council"" and ""approved"" while referring to an entirely different body, ju"
evgov-02,integrity.correctness.evasion-controlled,200,21.82,0.6817059,5,0.8473540170833669,0,,,"**Assessment:** rejected.  The new post's claim that government and media are lying and ""must be stopped"" closely echoes [T4-009626](#T4-009626), which asserts ""MSM LIES"" and labels coverage fake news, and [T4-009494](#T4-009494), which accuses mainstream media of ""continual lies, cover-ups"" and declares lost trust. The anti-government element parallels [T4-004400](#T4-004400), which calls the gov"
evgov-03,integrity.correctness.evasion-controlled,200,27.958,0.6632606,5,0.7391051760094285,0,,,"**Assessment:** rejected.  The new post's general skepticism toward ""official accounts and media coverage"" echoes the media-distrust framing in T4-009510, which argues that because the New York Times ""can't even verify a Twitter account,"" readers shouldn't ""accept their other reporting"" [T4-009510](#T4-009510), and in T4-008246, which mocks outlets reporting on fake news as ""Fake News"" [T4-008246]"
